,week,home,away,goal1,goal2,result,home_form,away_form,home_rank,away_rank
50,6,KASIMPAŞA,GÖZTEPE,0,0,0,1.4,1.2,8,10
51,6,GAZİANTEP,KONYASPOR,1,0,1,0.8,1.5,17,11
52,6,ERZURUMSPOR,GALATASARAY,1,2,2,1.4,1.4,9,6
53,6,BAŞAKŞEHİR,ANTALYASPOR,5,1,1,0.8,1.6,20,5
54,6,MALATYASPOR,GENÇLERBİRLİĞİ,2,1,1,1,1,15,19
55,6,ALANYASPOR,KARAGÜMRÜK,2,0,1,2.6,1.6,1,4
56,6,FENERBAHÇE,TRABZONSPOR,3,1,1,2.2,1,2,14
57,6,SİVASSPOR,RİZESPOR,0,2,2,1.75,1,7,13
58,6,DENİZLİSPOR,BEŞİKTAŞ,2,3,2,1,1,16,18
59,6,ANKARAGÜCÜ,HATAYSPOR,2,0,1,0.25,2,21,3
60,7,KARAGÜMRÜK,ERZURUMSPOR,5,1,1,1,0.8,5,15
61,7,TRABZONSPOR,KASIMPAŞA,3,4,2,1,1.6,18,7
62,7,GENÇLERBİRLİĞİ,GAZİANTEP,1,1,0,1,1.4,21,13
63,7,GALATASARAY,ANKARAGÜCÜ,1,0,1,1.4,1,3,20
64,7,RİZESPOR,KAYSERİSPOR,1,0,1,1.6,0.75,6,17
65,7,KONYASPOR,BAŞAKŞEHİR,1,2,2,1.2,1.4,16,11
66,7,BEŞİKTAŞ,MALATYASPOR,1,0,1,1,1.6,12,9
67,7,HATAYSPOR,SİVASSPOR,1,1,0,1.4,1.75,4,14
68,7,ANTALYASPOR,FENERBAHÇE,1,2,2,1,2.2,8,2
69,7,GÖZTEPE,ALANYASPOR,1,0,1,0.8,2.6,10,1
70,8,GAZİANTEP,BEŞİKTAŞ,3,1,1,1.4,1.5,11,10
71,8,KASIMPAŞA,ANTALYASPOR,2,2,0,1.6,0.8,6,13
72,8,ERZURUMSPOR,GÖZTEPE,1,1,0,0.8,1.2,15,8
73,8,ALANYASPOR,TRABZONSPOR,1,1,0,2,0.8,2,19
74,8,FENERBAHÇE,KONYASPOR,0,2,2,2.6,1,1,16
75,8,ANKARAGÜCÜ,KARAGÜMRÜK,2,2,0,0.8,1.4,21,4
76,8,MALATYASPOR,DENİZLİSPOR,2,0,1,1.4,1,14,20
77,8,KAYSERİSPOR,HATAYSPOR,0,1,2,0.75,1.4,17,7
78,8,BAŞAKŞEHİR,GENÇLERBİRLİĞİ,2,1,1,2,1,9,18
79,8,SİVASSPOR,GALATASARAY,1,2,2,1.25,1.4,12,3
80,9,KARAGÜMRÜK,SİVASSPOR,1,1,0,1,1,6,15
81,9,GENÇLERBİRLİĞİ,FENERBAHÇE,1,5,2,0.8,2.4,20,2
82,9,DENİZLİSPOR,GAZİANTEP,0,1,2,1,1.8,21,10
83,9,BEŞİKTAŞ,BAŞAKŞEHİR,3,2,1,1.5,2.6,12,5
84,9,HATAYSPOR,RİZESPOR,2,2,0,1.4,2.5,4,9
85,9,GÖZTEPE,ANKARAGÜCÜ,3,1,1,1.2,0.8,8,19
86,9,KONYASPOR,KASIMPAŞA,2,1,1,1,1.8,13,7
87,9,TRABZONSPOR,ERZURUMSPOR,1,0,1,0.4,0.4,17,16
88,9,ANTALYASPOR,ALANYASPOR,0,2,2,0.4,2,14,1
89,9,GALATASARAY,KAYSERİSPOR,1,1,0,1.8,0.75,3,18
90,10,ANKARAGÜCÜ,TRABZONSPOR,0,1,2,0.8,0.8,19,15
91,10,GAZİANTEP,MALATYASPOR,2,2,0,2.2,1.75,6,13
92,10,BAŞAKŞEHİR,DENİZLİSPOR,3,3,0,2.4,0.75,8,21
93,10,RİZESPOR,GALATASARAY,0,4,2,2.5,2,11,3
94,10,ERZURUMSPOR,ANTALYASPOR,2,2,0,0.2,0.4,17,16
95,10,ALANYASPOR,KONYASPOR,1,0,1,2,1.4,1,10
96,10,KASIMPAŞA,GENÇLERBİRLİĞİ,2,0,1,1.2,0.2,12,20
97,10,FENERBAHÇE,BEŞİKTAŞ,3,4,2,2.4,2.25,2,9
